Name,Price,Rating,Image
"acer KB272 G0bi 27"" IPS Full HD (1920 x 1080) Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | sRGB 99% | Tilt | HDMI & VGA Ports",,4.6,https://m.media-amazon.com/images/I/71e5GgPXQzL._AC_UY218_.jpg
"KOORUI Gaming Monitor, 24"" Fast IPS Computer Monitor, 165Hz FHD Display, 1ms PC Screen, 99% sRGB Color Gamut, Adaptive Sync, Ultra Slim Frame, VESA Mountable (1920x1080P, HDMI, DisplayPort) 24E3",,4.4,https://m.media-amazon.com/images/I/71JdV8N-rXL._AC_UY218_.jpg
"acer KB272 G0bi 27"" IPS Full HD (1920 x 1080) Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | sRGB 99% | Tilt | HDMI & VGA Ports",,4.6,https://m.media-amazon.com/images/I/71e5GgPXQzL._AC_UY218_.jpg
"Philips 22 inch Class Thin Full HD (1920 x 1080) Monitor, 100Hz Refresh Rate, VESA, HDMI x1, VGA x1, LowBlue Mode, Adaptive Sync, 4 Year Advance Replacement Warranty, 221V8LB",,4.6,https://m.media-amazon.com/images/I/71RTruFctrL._AC_UY218_.jpg
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",,4.5,https://m.media-amazon.com/images/I/71jdr9u9YhL._AC_UY218_.jpg
"Amazon Basics 24-inch IPS Monitor 75 Hz Powered with AOC Technology FHD 1080P HDMI, Display Port and VGA Input VESA Compatible Built-in Speakers for Office and Home, Black",,4.5,https://m.media-amazon.com/images/I/810CEvWo8nL._AC_UY218_.jpg
"CRUA 24"" Curved Monitor, FHD (1920×1080) 2800R, 75Hz, 99% sRGB Computer Monitors, Thin Bezel, Blue Light Filter, Wall Mountable/Tilt Adjustable Desktop PC Monitors (HDMI, VGA) - Black",,4.5,https://m.media-amazon.com/images/I/71iPLBvHWNL._AC_UY218_.jpg
"Sceptre Curved 24-inch Gaming Monitor 1080p R1500 98% sRGB HDMI x2 VGA Build-in Speakers, VESA Wall Mount Machine Black (C248W-1920RN Series)",,4.6,https://m.media-amazon.com/images/I/71P0M7tKjYL._AC_UY218_.jpg
"Dell S2425HS Monitor - 23.8 Inch, FHD (1920x1080) Display, 100Hz Refresh Rate 1500:1 Contrast Ratio, TÜV Rheinland Eye Comfort 4 Star, Integrated 2x5W Speaker, Height/Tilt/Swivel/Pivot - Ash White",,4.7,https://m.media-amazon.com/images/I/710HmaQgX3L._AC_UY218_.jpg
"Acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",,4.5,https://m.media-amazon.com/images/I/81aRnzRkLSL._AC_UY218_.jpg
"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",,4.5,https://m.media-amazon.com/images/I/61oepG5Y2FL._AC_UY218_.jpg
"KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms, AdaptiveSync Technology, LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care 24E4",,4.4,https://m.media-amazon.com/images/I/71ucxJRVNgL._AC_UY218_.jpg
"Samsung 27' T35F Series FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), AMD FreeSync, Wall Mountable, Game Mode, 3-Sided Border-Less, Eye Care, LF27T350FHNXZA",,4.5,https://m.media-amazon.com/images/I/71KH4jIuyCL._AC_UY218_.jpg
"SANSUI Monitor 24 Inch 100Hz PC Monitor, HDMI VGA Ports VESA Mount, FHD Computer Monitor Ultra-Slim Ergonomic Tilt Eye Care for Home Office (ES-24F2, HDMI Cable Included)",,4.3,https://m.media-amazon.com/images/I/71bpmLxsMQL._AC_UY218_.jpg
"KOORUI 24 Inch Computer Monitor, FHD 1080P Curved Gaming Monitor 165Hz VA 1800R Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care",,4.4,https://m.media-amazon.com/images/I/71hblCTcMVL._AC_UY218_.jpg
"Sceptre Curved 27"" FHD 1080p 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",,4.6,https://m.media-amazon.com/images/I/61Gok3gx2SL._AC_UY218_.jpg
"USB C Docking Station Dual Monitor for Laptop, LIONWEI 14-in-1 USB-C Hub with Triple Display, 2 HDMI + VGA, Ethernet, 6 USB A/C 3.0/2.0, PD, SD/TF, Audio, USB C Dock for Surface/HP/Dell/Lenovo/MacBook",,4.2,https://m.media-amazon.com/images/I/71AxFvPoHVL._AC_UY218_.jpg
"LG 34WP60C-B 34-Inch 21:9 Curved UltraWide QHD (3440x1440) Gaming Computer Monitor with 160Hz sRGB 99% Color Gamut and HDR 10, AMD FreeSync Premium and 3-Side Virtually Borderless Screen Tilt,Black",,4.6,https://m.media-amazon.com/images/I/71xUGwGReSL._AC_UY218_.jpg
"SAMSUNG 34"" ViewFinity S50GC Series Ultra-WQHD Monitor, 100Hz, 5ms, HDR10, AMD FreeSync, Eye Care, Borderless Design, PIP, PBP, LS34C502GANXZA, 2023, Black",,4.3,https://m.media-amazon.com/images/I/71UaaLrlu9L._AC_UY218_.jpg
"SAMSUNG 24"" (S30GD) Essential Monitor with IPS Panel and Tilt Only Stand, 100Hz Refresh Rate, Ergonomic Design, Advanced Eye Care, Game Mode, LS24D304GANXZA",,4.4,https://m.media-amazon.com/images/I/61ReaNcCHwL._AC_UY218_.jpg
"Yxk Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, for Laptop, PC, Mac Phone, PS, Xbox, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",,4.7,https://m.media-amazon.com/images/I/614w0p9HF4L._AC_UY218_.jpg
"INNOCN 49"" Curved Gaming Monitor 144Hz Ultrawide 32:9 WDFHD 3840 x 1080P, R1800, 99% sRGB, HDR400, USB Type C, DisplayPort, HDMI, Built-in Speakers, Height/Tilt Adjustable - 49C1G",,4.3,https://m.media-amazon.com/images/I/61Jf+2Fo+LL._AC_UY218_.jpg
